Time [s],Speed [m/s]
441,29.594047999999997
442,29.683456000000003
443,29.459936
444,29.549343999999998
445,29.281119999999998
446,27.805888
447,27.805888
448,27.448255999999997
449,27.314144
450,27.448255999999997
451,27.314144
452,27.448255999999997
453,27.448255999999997
454,27.627072
455,27.627072
456,27.627072
457,27.627072
458,27.805888
459,27.627072
460,27.805888
461,27.984704
462,27.805888
463,27.984704
464,27.805888
465,27.984704
466,27.984704
467,28.16352
468,27.984704
469,27.805888
470,27.314144
471,26.598879999999998
472,26.285951999999998
473,25.391872
474,24.900128
475,24.184864
476,23.02256
477,21.994368
478,21.815552
479,21.279104
480,20.072096
481,18.55216
482,16.629888
483,15.467584
484,14.75232
485,13.053568
486,9.968992
487,7.912608
488,7.733792
489,6.25856
490,4.470400000000001
491,2.68224
492,0.89408
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.089408
502,1.966976
503,4.515104
504,6.973824
505,9.298432
506,11.220704
507,12.383007999999998
508,12.606528
509,11.980672
510,11.086592
511,10.013696
512,7.644384
513,5.051552
514,3.084576
515,3.3528000000000002
516,4.962144000000001
517,6.884416
518,8.896096
519,10.818368
520,12.114784
521,12.74064
522,12.606528
523,11.444224
524,9.700768
525,7.733792
526,5.409184
527,3.3528000000000002
528,2.592832
529,1.0728959999999998
530,0.5364479999999999
531,0.8493759999999999
532,2.995168
533,5.275072000000001
534,7.5102720000000005
535,9.700768
536,11.578336
537,12.383007999999998
538,12.51712
539,12.114784
540,10.907775999999998
541,9.030208
542,6.795007999999999
543,4.157472
544,2.2352000000000003
545,1.296416
546,1.0728959999999998
547,3.7551360000000003
548,6.03504
549,7.957312
550,9.924288000000002
551,11.712448
552,13.411200000000001
553,13.321791999999999
554,11.623040000000001
555,9.521952
556,7.242048
557,5.096256
558,2.9504639999999998
559,1.162304
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,0.0
567,0.0
568,0.1341119999999999
569,2.861056
570,5.677408
571,8.583167999999999
572,10.639552
573,12.606528
574,15.601696
575,16.764
576,18.015712000000004
577,20.1168
578,22.307296
579,23.067264
580,22.888448
581,22.620224
582,22.307296
583,21.368512
584,19.937984
585,18.418048
586,16.898111999999998
587,14.931136
588,12.51712
589,10.594848
590,8.404352
591,5.766816
592,2.771648
593,0.983488
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,0.0
